iter	Passed	Remaining
0	0	775
1	1	753
2	2	742
3	2	729
4	3	721
5	4	707
6	5	710
7	5	707
8	6	721
9	7	713
10	7	709
11	8	703
12	9	698
13	9	692
14	10	688
15	11	688
16	11	684
17	12	684
18	13	684
19	13	680
20	14	674
21	15	676
22	15	673
23	16	673
24	17	674
25	17	672
26	18	673
27	19	671
28	19	666
29	20	663
30	21	663
31	21	661
32	22	660
33	23	656
34	23	655
35	24	653
36	25	652
37	25	650
38	26	647
39	26	644
40	27	643
41	28	642
42	28	640
43	29	640
44	30	640
45	31	643
46	31	641
47	32	640
48	33	641
49	33	639
50	34	638
51	34	637
52	35	638
53	36	637
54	37	637
55	37	637
56	38	637
57	39	638
58	40	638
59	40	638
60	41	637
61	42	638
62	42	638
63	43	636
64	44	637
65	44	635
66	45	636
67	45	630
68	46	630
69	47	630
70	48	630
71	48	628
72	49	626
73	49	624
74	50	623
75	51	622
76	51	621
77	52	620
78	53	618
79	53	617
80	54	615
81	54	614
82	55	612
83	56	611
84	56	607
85	57	608
86	57	605
87	58	604
88	58	603
89	59	603
90	60	602
91	60	601
92	61	600
93	62	599
94	62	598
95	63	596
96	63	595
97	64	593
98	65	593
99	65	592
100	66	591
101	66	587
102	67	586
103	67	585
104	68	585
105	69	584
106	69	583
107	70	582
108	71	581
109	71	580
110	72	579
111	72	578
112	73	578
113	74	577
114	74	575
115	75	573
116	75	572
117	76	571
118	77	570
119	77	569
120	78	568
121	78	567
122	79	564
123	79	564
124	81	567
125	81	567
126	82	566
127	82	563
128	83	562
129	83	561
130	84	559
131	84	558
132	85	557
133	86	556
134	86	555
135	87	554
136	87	554
137	88	552
138	89	551
139	89	550
140	90	549
141	90	548
142	91	547
143	91	546
144	92	545
145	93	544
146	93	543
147	94	542
148	94	541
149	95	540
150	95	539
151	96	537
152	96	536
153	97	535
154	97	533
155	98	532
156	99	531
157	99	530
158	100	529
159	100	528
160	101	527
161	101	526
162	102	525
163	103	525
164	103	524
165	104	524
166	104	523
167	105	522
168	106	521
169	106	520
170	107	519
171	107	519
172	108	518
173	108	517
174	109	516
175	110	515
176	110	514
177	111	513
178	111	512
179	112	511
180	112	509
181	113	508
182	113	507
183	114	506
184	114	506
185	115	505
186	116	504
187	116	504
188	117	503
189	117	502
190	118	502
191	119	501
192	119	500
193	120	499
194	120	498
195	121	498
196	121	497
197	122	496
198	123	495
199	123	494
200	124	493
201	124	492
202	125	491
203	125	491
204	126	490
205	126	489
206	127	488
207	128	487
208	128	487
209	129	486
210	129	485
211	130	484
212	130	484
213	131	483
214	132	483
215	133	483
216	133	482
217	134	481
218	134	480
219	135	479
220	135	478
221	136	478
222	137	477
223	137	476
224	138	475
225	138	475
226	139	474
227	139	473
228	140	472
229	140	471
230	141	471
231	142	470
232	142	469
233	143	468
234	143	468
235	144	467
236	144	466
237	145	465
238	146	465
239	146	464
240	147	463
241	147	462
242	148	462
243	148	461
244	149	460
245	150	460
246	150	459
247	151	458
248	151	457
249	152	456
250	152	456
251	153	455
252	153	454
253	154	453
254	155	453
255	155	452
256	156	451
257	156	451
258	157	450
259	157	449
260	158	448
261	159	447
262	159	447
263	160	446
264	160	445
265	161	444
266	161	444
267	162	443
268	163	443
269	163	442
270	164	442
271	164	441
272	165	440
273	166	439
274	166	439
275	167	438
276	167	437
277	168	437
278	168	436
279	169	435
280	170	435
281	170	434
282	171	434
283	172	434
284	173	434
285	173	433
286	174	433
287	174	432
288	175	432
289	176	431
290	177	431
291	177	431
292	178	431
293	179	430
294	179	429
295	180	429
296	181	428
297	181	427
298	182	427
299	182	426
300	183	425
301	183	424
302	184	424
303	185	423
304	185	422
305	186	422
306	186	421
307	187	420
308	187	420
309	188	419
310	189	418
311	189	418
312	190	417
313	191	417
314	192	417
315	192	417
316	193	417
317	194	416
318	194	416
319	195	415
320	196	415
321	196	414
322	197	414
323	198	413
324	198	413
325	199	413
326	200	412
327	201	412
328	201	411
329	202	411
330	203	410
331	203	410
332	204	409
333	205	409
334	205	408
335	206	408
336	207	407
337	207	407
338	208	406
339	209	406
340	209	405
341	210	404
342	211	404
343	211	403
344	212	403
345	212	402
346	213	401
347	214	401
348	214	400
349	215	400
350	216	399
351	216	399
352	217	398
353	218	398
354	218	397
355	219	396
356	220	396
357	220	395
358	221	394
359	221	394
360	222	393
361	222	392
362	223	392
363	224	391
364	224	390
365	225	390
366	225	389
367	226	388
368	226	388
369	227	387
370	228	386
371	228	386
372	229	385
373	229	384
374	230	383
375	230	383
376	231	382
377	231	381
378	232	380
379	233	380
380	233	379
381	234	379
382	235	378
383	235	378
384	236	377
385	236	376
386	237	376
387	238	375
388	238	374
389	239	374
390	239	373
391	240	372
392	240	372
393	241	371
394	242	370
395	242	370
396	243	369
397	243	368
398	244	368
399	245	367
400	245	366
401	246	366
402	246	365
403	247	364
404	247	364
405	248	363
406	249	363
407	250	362
408	250	362
409	251	361
410	251	360
411	252	359
412	252	359
413	253	358
414	253	358
415	254	357
416	255	356
417	255	356
418	256	355
419	256	354
420	257	354
421	257	353
422	258	352
423	259	352
424	259	351
425	260	350
426	260	349
427	261	349
428	261	348
429	262	347
430	263	347
