iter	Passed	Remaining
0	160	160094
1	162	80941
2	164	54594
3	166	41351
4	172	34364
5	175	29127
6	177	25237
7	180	22333
8	189	20856
9	191	18955
10	193	17367
11	194	16049
12	196	14910
13	199	14077
14	201	13257
15	203	12541
16	205	11874
17	207	11315
18	208	10769
19	209	10280
20	211	9870
21	214	9518
22	215	9139
23	216	8793
24	217	8469
25	218	8174
26	219	7901
27	220	7650
28	221	7413
29	222	7188
30	223	6983
31	226	6841
32	230	6753
33	231	6582
34	232	6415
35	233	6256
36	234	6111
37	235	5972
38	236	5839
39	238	5714
40	240	5614
41	242	5532
42	244	5442
43	246	5347
44	247	5252
45	248	5155
46	249	5063
47	250	4974
48	251	4888
49	253	4807
50	255	4751
51	257	4694
52	258	4620
53	259	4550
54	260	4478
55	262	4422
56	263	4366
57	265	4315
58	266	4256
59	272	4263
60	274	4219
61	275	4164
62	276	4113
63	277	4059
64	279	4015
65	280	3967
66	281	3920
67	282	3874
68	284	3836
69	286	3804
70	288	3777
71	290	3741
72	291	3700
73	292	3665
74	294	3637
75	296	3601
76	297	3563
77	299	3534
78	301	3509
79	303	3487
80	305	3465
81	306	3435
82	307	3399
83	308	3367
84	310	3337
85	311	3305
86	312	3276
87	313	3252
88	315	3229
89	318	3217
90	319	3192
91	321	3168
92	322	3145
93	323	3120
94	325	3096
95	326	3074
96	327	3050
97	329	3028
98	330	3009
99	333	2997
100	334	2979
101	335	2957
102	337	2938
103	338	2918
104	340	2899
105	341	2878
106	342	2857
107	343	2839
108	346	2833
109	349	2825
110	350	2811
111	352	2795
112	354	2780
113	355	2762
114	357	2748
115	358	2730
116	359	2713
117	362	2707
118	364	2696
119	365	2680
120	366	2665
121	367	2648
122	369	2632
123	370	2618
124	371	2603
125	373	2589
126	374	2574
127	378	2575
128	379	2562
129	380	2549
130	382	2537
131	383	2522
132	385	2511
133	386	2497
134	387	2485
135	389	2474
136	390	2462
137	392	2452
138	394	2445
139	396	2434
140	397	2424
141	398	2409
142	400	2398
143	401	2386
144	402	2374
145	404	2364
146	405	2354
147	408	2350
148	409	2339
149	410	2328
150	412	2318
151	413	2308
152	415	2299
153	416	2289
154	418	2279
155	419	2270
156	421	2263
157	423	2259
158	425	2252
159	427	2243
160	428	2232
161	429	2223
162	431	2213
163	432	2204
164	433	2195
165	435	2188
166	438	2187
167	440	2182
168	442	2175
169	443	2166
170	444	2156
171	446	2147
172	447	2139
173	449	2132
174	451	2126
175	453	2122
176	454	2114
177	456	2106
178	457	2098
179	458	2090
180	460	2081
181	461	2075
182	463	2068
183	465	2062
184	467	2061
185	469	2055
186	471	2050
187	473	2043
188	474	2036
189	476	2030
190	477	2023
191	479	2017
192	481	2014
193	483	2008
194	484	2000
195	486	1993
196	487	1986
197	488	1980
198	490	1973
199	491	1966
200	492	1959
201	494	1953
202	497	1951
203	498	1945
204	500	1939
205	501	1932
206	502	1925
207	504	1920
208	505	1913
209	507	1908
210	508	1902
211	510	1896
212	512	1893
213	513	1886
214	514	1880
215	516	1873
216	517	1867
217	518	1860
218	520	1854
219	521	1848
220	522	1842
221	524	1837
222	526	1835
223	528	1830
224	530	1825
225	531	1820
226	532	1814
227	534	1808
228	535	1802
229	536	1796
230	538	1791
231	539	1786
232	542	1785
233	543	1780
234	545	1775
235	546	1770
236	548	1764
237	549	1759
238	550	1752
239	551	1747
240	553	1742
241	554	1737
242	557	1735
243	558	1731
244	560	1727
245	562	1722
246	563	1717
247	564	1712
248	566	1707
249	567	1702
250	568	1697
251	570	1694
252	572	1690
253	573	1685
254	575	1680
255	576	1676
256	579	1674
257	580	1670
258	582	1665
259	583	1661
260	585	1658
261	587	1656
262	589	1653
263	591	1648
264	592	1643
265	594	1639
266	595	1634
267	597	1630
268	598	1627
269	600	1623
270	602	1622
271	604	1617
272	605	1613
273	607	1608
274	608	1604
275	609	1599
276	611	1595
277	612	1589
278	613	1585
279	615	1582
280	618	1581
281	619	1578
282	621	1573
283	622	1569
284	623	1564
285	625	1560
286	626	1556
287	627	1552
288	629	1549
289	632	1548
290	634	1545
291	635	1541
292	636	1536
293	638	1532
294	639	1528
295	640	1523
296	641	1519
297	643	1516
298	646	1514
299	648	1512
300	649	1509
301	651	1505
302	652	1500
303	653	1497
304	655	1493
305	656	1489
306	658	1486
307	659	1482
308	661	1480
309	663	1476
310	664	1472
311	666	1468
312	667	1464
313	668	1461
314	669	1456
315	671	1452
316	672	1449
317	674	1446
318	676	1443
319	678	1442
320	680	1438
321	681	1435
322	682	1430
323	684	1427
324	685	1423
325	686	1420
326	688	1417
327	690	1414
328	692	1412
329	694	1409
330	695	1406
331	697	1403
332	698	1399
333	700	1396
334	701	1392
335	702	1388
336	704	1385
337	706	1383
338	708	1381
339	710	1379
340	712	1376
341	713	1373
342	714	1369
343	716	1366
344	718	1363
345	720	1361
346	722	1359
347	723	1355
348	724	1352
349	726	1348
350	727	1345
351	728	1341
352	730	1338
353	731	1334
354	732	1331
355	734	1328
356	736	1327
357	738	1324
358	740	1321
359	741	1318
360	743	1315
361	744	1312
362	746	1309
363	747	1306
364	749	1303
365	751	1302
366	753	1299
367	755	1297
368	757	1294
369	758	1291
370	759	1288
371	761	1285
372	763	1282
373	764	1280
374	767	1278
375	769	1276
376	770	1273
377	771	1270
378	773	1267
379	775	1264
380	776	1261
381	778	1258
382	779	1255
383	782	1254
384	783	1252
385	785	1249
386	786	1246
387	788	1243
388	790	1240
389	791	1237
390	792	1234
391	794	1231
392	796	1229
393	798	1228
394	800	1225
395	801	1222
396	802	1219
397	804	1216
398	805	1213
399	806	1210
400	808	1207
401	809	1204
402	813	1204
403	814	1202
404	816	1199
405	817	1196
406	819	1193
407	820	1190
408	821	1187
409	823	1184
410	825	1182
411	827	1180
412	829	1178
413	830	1175
414	832	1173
415	833	1169
416	834	1166
417	835	1163
418	837	1160
419	838	1158
420	840	1155
421	842	1154
422	844	1151
423	845	1148
424	846	1145
425	847	1142
426	849	1139
427	850	1136
428	851	1133
429	853	1131
430	856	1130
431	858	1128
432	859	1126
433	861	1123
434	862	1120
435	863	1117
436	865	1114
437	866	1111
438	868	1109
439	869	1107
440	871	1104
441	873	1102
442	874	1099
443	875	1096
444	877	1094
445	878	1091
446	880	1088
447	881	1086
448	882	1083
449	884	1081
450	887	1079
451	888	1077
452	890	1074
453	891	1072
454	893	1069
455	894	1067
456	896	1065
457	898	1062
458	899	1060
459	901	1058
460	903	1056
461	904	1053
462	906	1051
463	907	1048
464	909	1045
465	910	1043
466	912	1041
467	914	1039
468	916	1038
469	918	1035
470	919	1032
471	921	1030
472	922	1028
473	924	1025
474	925	1022
475	926	1020
476	928	1018
477	931	1016
478	932	1014
479	934	1012
480	936	1009
481	937	1007
482	938	1005
483	940	1002
484	941	1000
485	943	998
486	945	996
487	948	994
488	949	992
489	951	990
490	952	987
491	953	985
492	955	982
493	956	980
494	958	978
495	961	976
496	962	974
497	964	972
498	965	969
499	967	967
500	968	964
501	969	961
502	970	959
503	971	956
504	973	954
505	975	951
506	976	949
507	978	947
508	979	944
509	981	942
510	982	940
511	983	937
512	984	934
513	986	932
514	987	929
515	988	927
516	991	926
517	992	923
518	993	921
519	995	918
520	996	916
521	997	913
522	999	911
523	1000	908
524	1001	906
525	1002	903
526	1004	901
527	1006	899
528	1008	897
529	1009	895
530	1010	892
531	1011	890
532	1012	887
533	1014	885
534	1015	882
535	1017	880
536	1018	878
537	1021	877
538	1023	875
539	1024	872
540	1025	870
541	1026	867
542	1028	865
543	1029	863
544	1031	860
545	1032	858
546	1034	856
547	1037	855
548	1039	853
549	1040	851
550	1041	849
551	1043	846
552	1044	844
553	1045	842
554	1047	839
555	1049	837
556	1051	836
557	1053	834
558	1054	832
559	1056	830
560	1058	828
561	1059	825
562	1061	823
563	1062	821
564	1064	819
565	1067	818
566	1069	816
567	1070	814
568	1072	812
569	1073	810
570	1075	807
571	1076	805
572	1078	803
573	1080	802
574	1082	800
575	1084	798
576	1085	795
577	1087	793
578	1088	791
579	1089	788
580	1091	786
581	1092	784
582	1094	782
583	1096	781
584	1098	779
585	1099	777
586	1101	774
587	1102	772
588	1103	770
589	1105	768
590	1106	765
591	1108	763
592	1109	761
593	1112	760
594	1113	758
595	1115	756
596	1117	754
597	1119	752
598	1121	750
599	1122	748
600	1124	746
601	1126	744
602	1128	743
603	1130	741
604	1131	738
605	1133	736
606	1134	734
607	1135	732
608	1138	731
609	1141	729
610	1143	727
611	1144	725
612	1146	723
613	1148	721
614	1149	719
615	1151	717
616	1153	715
617	1155	714
618	1157	712
619	1159	710
620	1161	708
621	1162	706
622	1164	704
623	1165	702
624	1166	700
625	1168	697
626	1169	695
627	1172	694
628	1173	692
629	1175	690
630	1177	688
631	1178	686
632	1180	684
633	1181	682
634	1182	679
635	1184	677
636	1186	676
637	1188	674
638	1190	672
639	1191	670
640	1192	667
641	1193	665
642	1195	663
643	1196	661
644	1198	659
645	1199	657
646	1204	657
647	1206	655
648	1207	653
649	1208	650
650	1210	648
651	1211	646
652	1212	644
653	1214	642
654	1217	641
655	1219	639
656	1220	637
657	1221	635
658	1223	632
659	1224	630
660	1225	628
661	1227	626
662	1228	624
663	1230	622
664	1232	621
665	1234	619
666	1235	617
667	1237	614
668	1238	612
669	1239	610
670	1241	608
671	1242	606
672	1243	604
673	1246	602
674	1247	600
675	1249	598
676	1250	596
677	1252	594
678	1253	592
679	1255	590
680	1256	588
681	1258	586
682	1260	585
683	1262	583
684	1264	581
685	1266	579
686	1268	577
687	1269	575
688	1271	573
689	1272	571
690	1274	570
691	1278	568
692	1279	566
693	1281	564
694	1282	562
695	1284	560
696	1285	558
697	1286	556
698	1288	554
699	1289	552
700	1291	550
701	1293	548
702	1294	546
703	1296	544
704	1297	542
705	1298	540
706	1299	538
707	1301	536
708	1302	534
709	1303	532
710	1305	530
711	1308	529
712	1310	527
713	1311	525
714	1312	523
715	1314	521
716	1316	519
717	1317	517
718	1319	515
719	1321	513
720	1323	512
721	1325	510
722	1326	508
723	1327	506
724	1329	504
725	1330	502
726	1332	500
727	1333	498
728	1335	496
729	1337	494
730	1338	492
731	1339	490
732	1341	488
733	1342	486
734	1344	484
735	1346	482
736	1347	480
737	1348	478
738	1350	476
739	1352	475
740	1353	473
741	1355	471
742	1356	469
743	1357	467
744	1359	465
745	1360	463
746	1361	461
747	1363	459
748	1364	457
749	1367	455
750	1368	453
751	1369	451
752	1371	449
753	1372	447
754	1373	445
755	1374	443
756	1376	441
757	1377	439
758	1379	437
759	1381	436
760	1383	434
761	1385	432
762	1386	430
763	1388	428
764	1390	427
765	1391	425
766	1393	423
767	1394	421
768	1397	419
769	1398	417
770	1400	415
771	1401	413
772	1403	412
773	1404	410
774	1405	408
775	1407	406
776	1408	404
777	1411	402
778	1413	400
779	1415	399
780	1417	397
781	1418	395
782	1420	393
783	1421	391
784	1423	389
785	1425	388
786	1427	386
787	1428	384
788	1430	382
789	1431	380
790	1432	378
791	1434	376
792	1435	374
793	1437	372
794	1438	370
795	1440	369
796	1443	367
797	1445	365
798	1446	363
799	1447	361
800	1449	360
801	1450	358
802	1452	356
803	1453	354
804	1455	352
805	1458	351
806	1459	349
807	1461	347
808	1462	345
809	1464	343
810	1465	341
811	1467	339
812	1468	337
813	1471	336
814	1473	334
815	1475	332
816	1476	330
817	1477	328
818	1479	326
819	1480	325
820	1482	323
821	1483	321
822	1486	319
823	1488	317
824	1489	316
825	1491	314
826	1492	312
827	1494	310
828	1495	308
829	1497	306
830	1499	304
831	1501	303
832	1503	301
833	1505	299
834	1506	297
835	1508	295
836	1509	293
837	1510	291
838	1511	290
839	1513	288
840	1516	286
841	1517	284
842	1519	282
843	1520	281
844	1522	279
845	1523	277
846	1525	275
847	1526	273
848	1527	271
849	1529	269
850	1531	268
851	1533	266
852	1535	264
853	1536	262
854	1538	260
855	1539	258
856	1540	257
857	1542	255
858	1544	253
859	1546	251
860	1548	249
861	1549	248
862	1550	246
863	1552	244
864	1553	242
865	1554	240
866	1556	238
867	1557	236
868	1559	235
869	1562	233
870	1564	231
871	1565	229
872	1566	227
873	1568	226
874	1570	224
875	1571	222
876	1573	220
877	1575	218
878	1577	217
879	1578	215
880	1579	213
881	1581	211
882	1582	209
883	1583	207
884	1584	205
885	1586	204
886	1587	202
887	1589	200
888	1591	198
889	1592	196
890	1594	195
891	1595	193
892	1597	191
893	1598	189
894	1599	187
895	1600	185
896	1602	183
897	1603	182
898	1605	180
899	1606	178
900	1608	176
901	1609	174
902	1611	173
903	1612	171
904	1614	169
905	1615	167
906	1617	165
907	1618	164
908	1621	162
909	1622	160
910	1624	158
911	1625	156
912	1626	155
913	1628	153
914	1629	151
915	1630	149
916	1632	147
917	1633	145
918	1636	144
919	1637	142
920	1639	140
921	1641	138
922	1642	137
923	1643	135
924	1645	133
925	1646	131
926	1647	129
927	1649	127
928	1651	126
929	1652	124
930	1654	122
931	1655	120
932	1656	118
933	1657	117
934	1659	115
935	1660	113
936	1661	111
937	1663	109
938	1665	108
939	1666	106
940	1668	104
941	1669	102
942	1670	100
943	1671	99
944	1673	97
945	1674	95
946	1675	93
947	1676	91
948	1677	90
949	1680	88
950	1682	86
951	1683	84
952	1685	83
953	1686	81
954	1687	79
955	1689	77
956	1690	75
957	1691	74
958	1693	72
959	1695	70
960	1697	68
961	1698	67
962	1700	65
963	1701	63
964	1702	61
965	1704	59
966	1705	58
967	1706	56
968	1707	54
969	1709	52
970	1711	51
971	1712	49
972	1714	47
973	1715	45
974	1716	44
975	1717	42
976	1718	40
977	1720	38
978	1721	36
979	1723	35
980	1725	33
981	1726	31
982	1728	29
983	1730	28
984	1731	26
985	1732	24
986	1734	22
987	1735	21
988	1737	19
989	1738	17
990	1740	15
991	1742	14
992	1743	12
993	1744	10
994	1746	8
995	1747	7
996	1748	5
997	1750	3
998	1751	1
999	1753	0
